Title,Company,Location,Date,Apply Here
Project Officer,ICMPD - International Centre for Migration Policy Development,"Tunis, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/project-officer-at-icmpd-international-centre-for-migration-policy-development-2823446105?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=01npdlFFv2ZGdtpVUM1GoA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Finance Officer/Associate Finance Officer,ICJ,"Tunis, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/finance-officer-associate-finance-officer-at-icj-2824734722?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=I15t%2FO8oUXdNslVTodI9%2BA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Agent de saisie (H/F),Edifis Group,"El Aouina, Tunis, Tunisia",2021-11-29,https://tn.linkedin.com/jobs/view/agent-de-saisie-h-f-at-edifis-group-2818506471?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=pGeCLOu%2FEGmPi72g9bBnow%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Agent marketing et communications,Collège LaSalle Tunis,"Tunis, Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/agent-marketing-et-communications-at-coll%C3%A8ge-lasalle-tunis-2829033278?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=gdnt0dMlYX7nReAWs4X4%2Fw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Delivery Manager,Vneuron,Grand Tunis Metropolitan Area,2021-12-06,https://tn.linkedin.com/jobs/view/delivery-manager-at-vneuron-2809933278?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=UySQhR6qMabrTkNguoUk6A%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Directeur administratif et financier,Poulina Group Holding,"al-Zahra', Ben Arous Governorate, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/directeur-administratif-et-financier-at-poulina-group-holding-2826406067?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=txB6oUIOTCNhcNEnEsrHQg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Operations & Administrative Assistant,Third Design,"Tunis, Tunisia",2021-12-05,https://tn.linkedin.com/jobs/view/operations-administrative-assistant-at-third-design-2823192498?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=Lf6Z5M51ws4hKy2O9L6yQQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Assistante de direction,Edifis Group,"El Aouina, Tunis, Tunisia",2021-11-29,https://tn.linkedin.com/jobs/view/assistante-de-direction-at-edifis-group-2818503981?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=SCpT9HVcDUUaHdyxchzIfw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Assistante Administrative et commerciale,DomElec,"Tunis, Tunis, Tunisia",2021-12-05,https://tn.linkedin.com/jobs/view/assistante-administrative-et-commerciale-at-domelec-2828503595?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=D7gSEF19Vhqz9RT24wLxKw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Responsable marketing,ADACTIM,"Tunis, Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/responsable-marketing-at-adactim-2829146354?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=V49hyn9Ed3zG%2FQUYXhwm4g%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Acheteur Commercial,Ooredoo Tunisie,"Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/acheteur-commercial-at-ooredoo-tunisie-2829328067?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=22k5c2Uoh6XfXLiHwjSqjA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Regional service supervisor,Transsion,"Tunis, Tunisia",2021-12-04,https://tn.linkedin.com/jobs/view/regional-service-supervisor-at-transsion-2827208798?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=ZT2eJ5z%2BiaHEGBFd1lCRIw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Responsable EXPLOITATION Air/Mer,DACHSER,"Tunis, Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/responsable-exploitation-air-mer-at-dachser-2826181625?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=x118DEos22SbSAWxg9BvoA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Human Resources Manager,Otalent : The Recruitment Squad,"Tunis, Tunisia",2021-12-03,https://tn.linkedin.com/jobs/view/human-resources-manager-at-otalent-the-recruitment-squad-2825389712?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=suCi%2Bq8nP9YRhQNXojMcDw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Project Engineer,Baxter International Inc.,"Manouba Governorate, Tunisia",2021-11-25,https://tn.linkedin.com/jobs/view/junior-project-engineer-at-baxter-international-inc-2813562024?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=QqWZ43cdbMoBYGefmuCcVg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
People & Culture Specialist,Four Seasons Hotels and Resorts,"Tunis, Tunis, Tunisia",2021-11-23,https://tn.linkedin.com/jobs/view/people-culture-specialist-at-four-seasons-hotels-and-resorts-2804499540?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=Xi329VV0tzQrvTD8qGVjYw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
"Coord, Sales Administration",Baxter International Inc.,"Tunis, Tunis, Tunisia",2021-10-29,https://tn.linkedin.com/jobs/view/coord-sales-administration-at-baxter-international-inc-2805257078?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=wXgBrM5xE9ZoQmLwGD6l2Q%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Une Assistante E-commerce,MEDIA SHOP,"Tunis, Tunis, Tunisia",2021-11-16,https://tn.linkedin.com/jobs/view/une-assistante-e-commerce-at-media-shop-2794269524?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=5X4h3JgLXsQvPXYx07j0YQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Leader Sport Vendeur Omni-commerce,Decathlon Tunisie,Grand Tunis Metropolitan Area,2021-12-06,https://tn.linkedin.com/jobs/view/leader-sport-vendeur-omni-commerce-at-decathlon-tunisie-2826180094?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=7ng7kyRHbEKJbjOgF%2Bkmng%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Brand Manager,The Adecco Group,"Ben Arous Governorate, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/brand-manager-at-the-adecco-group-2826181704?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=9A%2BIqZ9fwhDNnJNRXJO1UA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
"Admin, HR",Baxter International Inc.,"Manouba Governorate, Tunisia",2021-10-28,https://tn.linkedin.com/jobs/view/admin-hr-at-baxter-international-inc-2803915650?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=ZEVl9dbksodtTRFzMzutaQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
gestionnaire ressources humaines,Baguette et baguette,"Ariana Governorate, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/gestionnaire-ressources-humaines-at-baguette-et-baguette-2819900482?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=4G0kcTCzkSlwml%2BdhLnl5A%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Responsable Marketing,Cabinet Force Management,"Ben Arous Governorate, Tunisia",2021-11-08,https://tn.linkedin.com/jobs/view/responsable-marketing-at-cabinet-force-management-2787713365?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=Zu4WJUtdv3xOl%2BrPzg9TaA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Assistant To Team,World Health Organization,"Tunis, Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/assistant-to-team-at-world-health-organization-2814238093?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=K%2BLLJIhIYGg5r9wGn7iRyQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Responsable Ressources Humaines (H/F),BDO Tunisia,"Tunis, Tunisia",2021-12-05,https://tn.linkedin.com/jobs/view/responsable-ressources-humaines-h-f-at-bdo-tunisie-2820367925?refId=Ga1b7FwKOxyegbOJpdPjEQ%3D%3D&trackingId=f52IyZNXJvlrg9mMTlGWtw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Directeur Général F/H - Tunisie,Morgan Philips Group,"Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/directeur-g%C3%A9n%C3%A9ral-f-h-tunisie-at-morgan-philips-group-2823382560?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=Omu8mxXcC8txdO7hncAZ2Q%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
Une Chargée de Contenu Social Media,QCM Groupe,"Tunis, Tunisia",2021-11-29,https://tn.linkedin.com/jobs/view/une-charg%C3%A9e-de-contenu-social-media-at-qcm-groupe-2818102544?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=UFfbZbwDgTQ4OsPjV7qOOg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
Responsable commercial,UNIWEB,"Al Marsá, Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/responsable-commercial-at-uniweb-2826420326?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=r3I31Nfc0hw0v%2Fxe9qXdmQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
Ecommerce Manager,The Adecco Group,"Ben Arous Governorate, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/ecommerce-manager-at-the-adecco-group-2826193066?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=%2BYUw87hd2QTnUuOCA8rIrQ%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
Procurement Partner,Roche,"Tunis, Tunis, Tunisia",2021-11-04,https://tn.linkedin.com/jobs/view/procurement-partner-at-roche-2818912973?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=713Cp1FON2dYvySV6IxeGA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Community manager (H/F),Edifis Group,"Al Marsá, Tunis, Tunisia",2021-11-29,https://tn.linkedin.com/jobs/view/community-manager-h-f-at-edifis-group-2818505722?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=zFBak8qunZuy9uKVR6NZ4w%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
Customer CARE Specialist UK,Vista,"Tunis, Tunis, Tunisia",2021-11-07,https://tn.linkedin.com/jobs/view/customer-care-specialist-uk-at-vista-2825079439?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=jVktczE7cnsUsiwlCWPzCg%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
Chef de projet,ABSHORE,"Tunis, Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/chef-de-projet-at-abshore-2829122768?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=O14aQSMrr%2Bj1apGSn99OQg%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
Agents centre d’appel H/F,César Call Center,"Tunis City, Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/agents-centre-d%E2%80%99appel-h-f-at-c%C3%A9sar-call-center-2493363033?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=D6ULVCw4ez6W0NxGdram4w%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
Assistante de direction,DataEra,"Tunis, Tunis, Tunisia",2021-11-23,https://tn.linkedin.com/jobs/view/assistante-de-direction-at-dataera-2805122973?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=otA9NGhajRGVZfAYI6sLOg%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
Responsable gestion de projet,CSNPBA-UTICA,"Tunis, Tunisia",2021-11-25,https://tn.linkedin.com/jobs/view/responsable-gestion-de-projet-at-csnpba-utica-2807478638?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=7qpraRY3RS%2BE5AJF43PXvQ%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
Assistant back-office,STE CARRIÈRES CENTRE .SA,"Tunis, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/assistant-back-office-at-ste-carri%C3%A8res-centre-sa-2818456905?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=9KydxJhLrZUu3V5DnXmcDA%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
Business Analyst Intern (Remote Internship),Brainnest,"Tunis, Tunis, Tunisia",2021-11-25,https://tn.linkedin.com/jobs/view/business-analyst-intern-remote-internship-at-brainnest-2812391008?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=UKoVvLWZQT9hH8Dh36to3Q%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
A Tunisia & Algeria Country Sales Manager,Henkel,"Tunis, Tunisia",2021-11-22,https://tn.linkedin.com/jobs/view/a-tunisia-algeria-country-sales-manager-at-henkel-2804410256?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=sz0BGvMAWsCmGqwzfUjABA%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
Assistant To Team,World Health Organization,"Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/assistant-to-team-at-world-health-organization-2820899625?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=ZKhQ%2FdawvA0%2FLCYRcnWEjg%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
Superviseur commercial,Spear consulting,Grand Tunis Metropolitan Area,2021-12-04,https://tn.linkedin.com/jobs/view/superviseur-commercial-at-spear-consulting-2827242833?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=PAhiTyrfoHfqZ1U7zNmJow%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
Directeur des Opérations H/F - Centre de contact,Talentup,"Bab el Bahr, Tunis, Tunisia",2021-11-03,https://tn.linkedin.com/jobs/view/directeur-des-op%C3%A9rations-h-f-centre-de-contact-at-talentup-2817508563?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=7Pb%2BYTTmvBHJouiNx2nhXQ%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
